t,z_s
5.117187500000000000e-01,4.562145236515167783e-03
5.126953125000000000e-01,4.551073275526686633e-03
5.136718750000000000e-01,4.535707328792066423e-03
5.146484375000000000e-01,4.516060876925995053e-03
5.156250000000000000e-01,4.492151445595213288e-03
5.166015625000000000e-01,4.464000589045217203e-03
5.175781250000000000e-01,4.431633869832194914e-03
5.185546875000000000e-01,4.395080834779356745e-03
5.195312500000000000e-01,4.354374987180381976e-03
5.205078125000000000e-01,4.309553755276225931e-03
5.214843750000000000e-01,4.260658457035038787e-03
5.224609375000000000e-01,4.207734261268424730e-03
5.234375000000000000e-01,4.150830145120710038e-03
5.244140625000000000e-01,4.089998847971304356e-03
5.253906250000000000e-01,4.025296821793615185e-03
5.263671875000000000e-01,3.956784178017294998e-03
5.273437500000000000e-01,3.884524630943904204e-03
5.283203125000000000e-01,3.808585437769299292e-03
5.292968750000000000e-01,3.729037335269258686e-03
5.302734375000000000e-01,3.645954473207986546e-03
5.312500000000000000e-01,3.559414344532222090e-03
5.322265625000000000e-01,3.469497712416700925e-03
5.332031250000000000e-01,3.376288534229677715e-03
5.341796875000000000e-01,3.279873882490112226e-03
5.351562500000000000e-01,3.180343862890953107e-03
5.361328125000000000e-01,3.077791529465709851e-03
5.371093750000000000e-01,2.972312796978187829e-03
5.380859375000000000e-01,2.864006350617875982e-03
5.390625000000000000e-01,2.752973553086005085e-03
5.400390625000000000e-01,2.639318349159752632e-03
5.410156250000000000e-01,2.523147167824433927e-03
5.419921875000000000e-01,2.404568822065816618e-03
5.429687500000000000e-01,2.283694406416882528e-03
5.439453125000000000e-01,2.160637192355480043e-03
5.449218750000000000e-01,2.035512521651329509e-03
5.458984375000000000e-01,1.908437697762769246e-03
5.468750000000000000e-01,1.779531875385463764e-03
5.478515625000000000e-01,1.648915948257033371e-03
5.488281250000000000e-01,1.516712435323205139e-03
5.498046875000000000e-01,1.383045365372621112e-03
5.507812500000000000e-01,1.248040160248882913e-03
5.517578125000000000e-01,1.111823516749745923e-03
5.527343750000000000e-01,9.745232873246136799e-04
5.537109375000000000e-01,8.362683596826064360e-04
5.546875000000000000e-01,6.971885354245078515e-04
5.556640625000000000e-01,5.574144078128068528e-04
5.566406250000000000e-01,4.170772387948618325e-04
5.576171875000000000e-01,2.763088353949172621e-04
